35,"361;69;21;14;45;7;32;26;75;9;29;12;82;10;121;111;355;69;23;11;43;9;30;22;79;10;31;13;82;10;124;113;346;74;22;14;46;6;24;20;82;9;27;13;83;8;139;111"
36,"391;70;24;54;24;10;24;80;58;12;18;30;50;9;85;85;396;67;24;54;28;8;24;73;58;11;19;31;50;10;85;86;391;68;25;53;29;9;26;72;63;9;20;31;51;10;80;87"
37,"216;74;39;62;24;7;38;57;55;14;19;24;76;20;122;177;228;69;39;55;27;5;39;58;55;15;17;24;74;20;121;178;228;66;38;55;28;6;39;57;57;12;16;28;78;21;122;173"
38,"165;16;33;89;49;4;23;13;91;19;18;38;281;18;64;103;181;16;30;88;50;5;17;16;76;18;19;39;273;19;68;109;157;17;33;96;51;4;18;18;80;17;21;38;272;18;80;104"
39,"301;57;16;27;12;7;33;34;63;15;11;17;80;9;134;208;294;61;19;33;15;5;32;34;53;14;13;14;83;11;133;210;295;54;22;32;17;5;29;37;57;17;15;15;81;11;130;207"
40,"245;60;15;28;37;5;21;30;74;13;10;14;82;9;151;230;235;66;15;23;32;5;24;29;70;11;12;15;87;10;160;230;250;65;16;25;27;8;28;29;70;10;10;12;91;9;150;224"
41,"239;54;39;76;67;10;32;30;72;28;16;50;68;19;78;146;240;48;43;76;63;10;32;46;63;24;19;55;79;20;68;138;239;60;45;80;67;12;43;43;58;19;16;55;63;18;61;145"
42,"210;57;24;64;47;7;28;79;79;12;23;28;76;7;124;159;218;66;29;87;36;8;36;88;71;15;18;25;69;8;110;140;236;80;32;95;42;10;25;88;65;14;18;29;60;11;93;126"
43,"226;51;33;56;27;9;26;71;85;9;17;35;80;12;116;171;234;61;34;58;27;11;31;69;77;9;15;32;77;11;113;165;272;73;34;67;27;10;20;64;97;11;11;32;69;13;92;132"
44,"157;62;25;93;46;8;32;68;98;21;11;41;106;18;67;171;157;63;29;82;48;8;33;73;96;20;11;48;100;19;68;169;161;60;26;88;47;7;32;73;97;19;11;45;104;20;67;167"
45,"252;43;19;33;40;8;39;38;79;15;14;29;63;7;164;181;263;50;18;22;44;8;35;38;83;12;13;29;64;8;156;181;252;59;20;34;46;10;35;42;90;7;14;30;60;6;148;171"
46,"300;63;19;52;32;7;27;54;84;11;11;30;51;7;143;133;293;62;25;47;35;4;31;57;92;10;11;28;50;7;134;138;302;59;21;47;32;4;28;57;97;9;9;30;57;6;138;128"
47,"292;141;22;57;14;6;22;27;72;17;5;23;61;19;135;111;330;151;18;51;13;8;21;16;71;17;7;28;52;17;125;99;333;164;19;49;13;7;20;19;64;22;10;18;56;19;114;97"
48,"225;70;15;152;33;4;18;74;139;14;11;49;69;14;41;96;218;78;26;150;39;6;14;78;138;11;14;51;70;15;33;83;204;92;21;189;28;6;11;96;142;12;6;40;56;11;35;75"
49,"238;104;12;25;19;3;8;18;237;18;8;15;97;12;146;64;236;113;9;29;13;4;12;12;244;20;8;9;114;11;129;61;249;124;12;27;16;4;12;13;217;23;12;14;87;12;138;64"
50,"257;101;24;70;13;2;31;60;48;7;15;7;69;6;173;141;242;100;27;67;8;2;29;61;64;9;13;9;68;9;183;133;256;99;30;71;10;2;25;61;62;9;12;8;62;8;187;122"
51,"299;117;11;113;19;2;10;53;107;25;4;14;55;6;95;94;272;124;13;131;9;4;12;65;141;16;1;5;51;5;98;77;264;123;9;144;9;3;9;74;137;16;4;7;45;3;92;85"
52,"256;91;28;77;17;10;20;65;65;18;9;18;66;12;120;152;266;127;25;93;15;8;22;67;71;12;4;11;51;10;107;135;254;122;22;105;13;8;25;72;72;14;3;8;46;11;108;141"
53,"216;123;31;66;26;9;23;53;95;24;14;22;97;8;86;131;242;116;23;66;25;4;21;54;88;27;12;18;94;13;101;120;236;104;21;72;19;4;25;53;92;27;8;16;95;14;113;125"
54,"293;179;22;52;17;3;20;38;63;16;12;14;55;11;117;112;255;183;33;54;12;5;31;42;63;9;12;11;47;10;128;129;268;168;25;56;15;4;27;40;59;10;15;13;45;8;141;130"
55,"300;265;20;52;15;4;23;37;27;13;3;8;32;7;99;119;281;266;16;55;12;4;17;37;30;7;8;7;38;9;146;91;333;271;19;55;15;3;22;42;23;8;3;12;30;10;82;96"
