,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
No,Yes,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00001,8,"3,4",302,188,158,1152,0.656522,0.807778,0.616327,0.879389,0.635789
0.1,0.00001,8,"1,2,3",154,111,64,571,0.706422,0.805556,0.581132,0.899213,0.637681
0.1,0.00015,8,"1,2,4",157,77,81,585,0.659664,0.824444,0.67094,0.878378,0.665254
0.1,0.00001,8,"1,3,4",81,162,90,567,0.473684,0.72,0.333333,0.863014,0.391304
0.5,0.00001,8,"2,3,4",166,81,201,452,0.452316,0.686667,0.672065,0.69219,0.540717
0.1,0.00015,16,"1,2",302,86,55,997,0.845938,0.902083,0.778351,0.947719,0.810738
0.1,0.00015,16,"1,3",292,106,40,1002,0.879518,0.898611,0.733668,0.961612,0.8
0.1,0.00015,16,"1,4",165,207,18,1050,0.901639,0.84375,0.443548,0.983146,0.594595
0.1,0.00001,16,"2,3",265,138,87,950,0.752841,0.84375,0.657568,0.916104,0.701987
0.1,0.00015,16,"2,4",311,66,75,988,0.805699,0.902083,0.824934,0.929445,0.815203
0.1,0.00015,16,"3,4",299,88,33,1020,0.900602,0.915972,0.77261,0.968661,0.831711
0.1,0.00001,16,"1,2,3",178,29,113,400,0.611684,0.802778,0.859903,0.779727,0.714859
0.1,0.00001,16,"1,2,4",167,14,209,330,0.444149,0.690278,0.922652,0.612245,0.599641
0.1,0.00001,16,"1,3,4",119,72,42,487,0.73913,0.841667,0.623037,0.920605,0.676136
0.1,0.00015,16,"2,3,4",99,97,17,507,0.853448,0.841667,0.505102,0.967557,0.634615
12.5,0.00001,32,"1,2",159,47,34,670,0.823834,0.910989,0.771845,0.951705,0.796992
12.5,0.00001,32,"1,3",142,66,24,678,0.855422,0.901099,0.682692,0.965812,0.759358
2.5,0.00001,32,"1,4",104,84,14,708,0.881356,0.892308,0.553191,0.980609,0.679739
2.5,0.00001,32,"2,3",135,79,28,668,0.828221,0.882418,0.630841,0.95977,0.71618
2.5,0.00001,32,"2,4",144,50,25,691,0.852071,0.917582,0.742268,0.965084,0.793388
2.5,0.00001,32,"3,4",133,63,12,702,0.917241,0.917582,0.678571,0.983193,0.780059
0.1,0.00001,32,"1,2,3",86,27,15,327,0.851485,0.907692,0.761062,0.95614,0.803738
0.1,0.00001,32,"1,2,4",65,28,14,348,0.822785,0.907692,0.698925,0.961326,0.755814
0.1,0.00001,32,"1,3,4",59,36,2,358,0.967213,0.916484,0.621053,0.994444,0.75641
0.1,0.00001,32,"2,3,4",79,22,10,344,0.88764,0.92967,0.782178,0.971751,0.831579
,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
Yes,Yes,Yes,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00225,8,"1,2",343,156,114,1187,0.750547,0.85,0.687375,0.912375,0.717573
0.1,0.00225,8,"1,3",368,140,239,1053,0.60626,0.789444,0.724409,0.815015,0.66009
2.5,0.00225,8,"1,4",123,354,22,1301,0.848276,0.791111,0.257862,0.983371,0.395498
0.1,0.00015,8,"2,3",318,194,173,1115,0.647658,0.796111,0.621094,0.865683,0.634098
0.1,0.00001,8,"2,4",361,120,216,1103,0.62565,0.813333,0.75052,0.83624,0.68242
2.5,0.00225,8,"3,4",136,354,27,1283,0.834356,0.788333,0.277551,0.979389,0.416539
0.1,0.00015,8,"1,2,3",225,40,89,546,0.716561,0.856667,0.849057,0.859843,0.777202
0.1,0.00001,8,"1,2,4",172,62,90,576,0.656489,0.831111,0.735043,0.864865,0.693548
0.1,0.00015,8,"1,3,4",109,134,25,632,0.813433,0.823333,0.44856,0.961948,0.578249
0.1,0.00001,8,"2,3,4",190,57,69,584,0.733591,0.86,0.769231,0.894334,0.750988
0.1,0.00001,16,"1,2",300,88,73,979,0.80429,0.888194,0.773196,0.930608,0.788436
0.1,0.00001,16,"1,3",326,72,53,989,0.860158,0.913194,0.819095,0.949136,0.839125
0.1,0.00015,16,"1,4",157,215,18,1050,0.897143,0.838194,0.422043,0.983146,0.57404
2.5,0.00001,16,"2,3",276,127,82,955,0.77095,0.854861,0.684864,0.920926,0.725361
0.1,0.00015,16,"2,4",303,74,59,1004,0.837017,0.907639,0.803714,0.944497,0.820027
0.1,0.00001,16,"3,4",300,87,156,897,0.657895,0.83125,0.775194,0.851852,0.711744
0.1,0.00001,16,"1,2,3",180,27,51,462,0.779221,0.891667,0.869565,0.900585,0.821918
0.1,0.00001,16,"1,2,4",161,20,61,478,0.725225,0.8875,0.889503,0.886827,0.799007
0.1,0.00001,16,"1,3,4",79,112,31,498,0.718182,0.801389,0.413613,0.941399,0.524917
0.1,0.00015,16,"2,3,4",158,38,267,257,0.371765,0.576389,0.806122,0.490458,0.508857
2.5,0.00001,32,"1,2",170,36,39,665,0.813397,0.917582,0.825243,0.944602,0.819277
2.5,0.00001,32,"1,3",157,51,31,671,0.835106,0.90989,0.754808,0.95584,0.792929
12.5,0.00001,32,"1,4",79,109,9,713,0.897727,0.87033,0.420213,0.987535,0.572464
2.5,0.00001,32,"2,3",120,94,23,673,0.839161,0.871429,0.560748,0.966954,0.672269
2.5,0.00001,32,"2,4",137,57,22,694,0.861635,0.913187,0.706186,0.969274,0.776204
0.1,0.00001,32,"3,4",113,83,8,706,0.933884,0.9,0.576531,0.988796,0.712934
0.1,0.00001,32,"1,2,3",96,17,22,320,0.813559,0.914286,0.849558,0.935673,0.831169
2.5,0.00001,32,"1,2,4",78,15,20,342,0.795918,0.923077,0.83871,0.944751,0.816754
0.1,0.00001,32,"1,3,4",56,39,2,358,0.965517,0.90989,0.589474,0.994444,0.732026
12.5,0.00001,32,"2,3,4",81,20,11,343,0.880435,0.931868,0.80198,0.968927,0.839378
